expert,Rewards,Episodes Duration in Seconds,Travelled Distance,Episodes Duration in Timesteps
0.000000000000000000e+00,-1.100000000000000000e+01,4.239999999999980673e+00,5.155428343502447275e-01,2.200000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+01,5.074000000000012278e+00,5.694084190798922585e-01,2.600000000000000000e+01
0.000000000000000000e+00,1.000000000000000000e+00,1.823000000000007503e+00,2.394149117585691600e-01,1.000000000000000000e+01
0.000000000000000000e+00,-5.900000000000000000e+01,1.392100000000002069e+01,9.057929920589889994e-01,7.000000000000000000e+01
0.000000000000000000e+00,-8.000000000000000000e+00,3.631000000000000227e+00,4.353300285094787170e-01,1.900000000000000000e+01
0.000000000000000000e+00,-7.400000000000000000e+01,1.692699999999999250e+01,1.256198934757665642e+00,8.500000000000000000e+01
0.000000000000000000e+00,-3.300000000000000000e+01,8.677000000000020918e+00,5.650142374338119611e-01,4.400000000000000000e+01
0.000000000000000000e+00,-2.900000000000000000e+01,7.870000000000004547e+00,6.707995448544947781e-01,4.000000000000000000e+01
0.000000000000000000e+00,-2.500000000000000000e+01,7.057999999999992724e+00,6.171110767120180363e-01,3.600000000000000000e+01
0.000000000000000000e+00,-1.700000000000000000e+01,5.497000000000014097e+00,4.864620124064154005e-01,2.800000000000000000e+01
0.000000000000000000e+00,2.000000000000000000e+00,1.649000000000000909e+00,2.585980116145120133e-01,9.000000000000000000e+00
0.000000000000000000e+00,-2.900000000000000000e+01,8.053999999999973625e+00,8.574817985599412218e-01,4.000000000000000000e+01
0.000000000000000000e+00,-3.000000000000000000e+00,2.687000000000011823e+00,3.506703507237661777e-01,1.400000000000000000e+01
0.000000000000000000e+00,-2.600000000000000000e+01,7.322000000000002728e+00,8.009718984534750508e-01,3.700000000000000000e+01
0.000000000000000000e+00,1.000000000000000000e+00,1.835999999999899046e+00,2.745080279867555539e-01,1.000000000000000000e+01
0.000000000000000000e+00,-7.000000000000000000e+00,3.472000000000093678e+00,5.000867680460566733e-01,1.800000000000000000e+01
0.000000000000000000e+00,4.000000000000000000e+00,1.230999999999994543e+00,2.097333895912078527e-01,7.000000000000000000e+00
0.000000000000000000e+00,-1.000000000000000000e+00,2.286000000000058208e+00,3.632945048949924871e-01,1.200000000000000000e+01
0.000000000000000000e+00,4.000000000000000000e+00,1.225000000000022737e+00,2.428076939799471423e-01,7.000000000000000000e+00
0.000000000000000000e+00,6.000000000000000000e+00,8.379999999999654392e-01,2.064397676671540782e-01,5.000000000000000000e+00
0.000000000000000000e+00,-5.200000000000000000e+01,1.281700000000000728e+01,1.451428094067116259e+00,6.300000000000000000e+01
0.000000000000000000e+00,-1.100000000000000000e+01,4.332999999999969987e+00,6.098278012272522197e-01,2.200000000000000000e+01
0.000000000000000000e+00,-3.200000000000000000e+01,8.540999999999939973e+00,9.786529555038669947e-01,4.300000000000000000e+01
0.000000000000000000e+00,-1.000000000000000000e+01,4.068999999999959982e+00,5.147450470929155752e-01,2.100000000000000000e+01
