human_action,agent_action,ee_pos_x_prev,ee_pos_y_prev,ee_vel_x_prev,ee_vel_y_prev,ee_pos_x_next,ee_pos_y_next,ee_vel_x_next,ee_vel_y_next,cmd_acc_human,cmd_acc_agent
1.000000000000000056e-01,2.000000000000000000e+00,-1.745980621317999026e-01,3.435698607597090781e-01,-9.415682764793636224e-05,1.634427110790805169e-04,-1.750302150597170536e-01,1.649476644073760434e-01,-9.987369142246092248e-06,3.975226264997047958e-05,2.000000000000000042e-02,-2.000000000000000111e-01
1.000000000000000056e-01,2.000000000000000000e+00,-1.796921209832543775e-01,1.672819219048381489e-01,-5.768849033365832713e-05,4.110520449252013297e-05,-1.961179836663764497e-01,1.755021155459727533e-01,-1.976525931053815506e-05,4.639839431437670840e-05,2.000000000000000042e-02,-2.000000000000000111e-01
0.000000000000000000e+00,0.000000000000000000e+00,-2.066161861091430074e-01,1.807546121093790703e-01,-5.801463478908147869e-05,4.979892814553653536e-05,-2.306205523380291667e-01,1.929168612870667820e-01,-3.871964504946692488e-05,5.674331219296255757e-05,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,-2.431044983108111013e-01,1.992458001813049995e-01,-5.769021050712391715e-05,6.051606072698214646e-05,-2.671140348455181557e-01,2.114176087234029000e-01,-6.547139467759646931e-05,6.791106219821517313e-05,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.000000000000000000e+00,-2.796001604076915337e-01,2.177473614277518899e-01,-5.779717731192175300e-05,7.175937393116886770e-05,-3.074031806491855368e-01,2.299196696666057083e-01,-1.044336733336859619e-04,8.159986704613675390e-05,0.000000000000000000e+00,-2.000000000000000111e-01
-1.000000000000000056e-01,2.000000000000000000e+00,-3.235855318258195057e-01,2.354864404517753584e-01,-5.804803541914360806e-05,8.668241053000370346e-05,-3.546081567637468512e-01,2.444305365062315882e-01,-1.635448842512698942e-04,9.743411506754068991e-05,-2.000000000000000042e-02,-2.000000000000000111e-01
0.000000000000000000e+00,1.000000000000000000e+00,-3.546237380679724271e-01,2.471024081038085962e-01,-5.779774149359082096e-05,9.983138269650370517e-05,-3.511703552448943166e-01,2.499279999584355094e-01,-1.638986400825369360e-04,1.012971761755408062e-04,0.000000000000000000e+00,2.000000000000000111e-01
0.000000000000000000e+00,0.000000000000000000e+00,-3.462173239005026382e-01,2.509364843215196039e-01,-5.789734752983626670e-05,1.007586725780560744e-04,-3.341031678055055298e-01,2.528753160490456731e-01,-1.453758336995680637e-04,1.002220811136022888e-04,0.000000000000000000e+00,0.000000000000000000e+00
-1.000000000000000056e-01,0.000000000000000000e+00,-3.277945240266660343e-01,2.538834465305943033e-01,-6.298376833347367032e-05,9.960777770715820460e-05,-3.156607618741915644e-01,2.557300484831578347e-01,-1.269646983350858295e-04,9.888517621560590854e-05,-2.000000000000000042e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,-3.093502605489994450e-01,2.557524548680217280e-01,-8.049072458307814548e-05,9.771120002714128077e-05,-2.972128189699269618e-01,2.546521925785786289e-01,-1.088264651336564220e-04,9.540347555700529557e-05,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,-2.909004558735347468e-01,2.540790194217489306e-01,-1.179331599733104069e-04,9.390878999295589492e-05,-2.787596661958725575e-01,2.529763728231829711e-01,-9.144703817423499343e-05,9.125252986132591693e-05,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.000000000000000000e+00,-2.724456633993034282e-01,2.524028075686881034e-01,-1.866497664540274373e-04,9.036778051873846503e-05,-2.640876745806886028e-01,2.513000432456142796e-01,-7.967514645523265135e-05,8.853945319238528517e-05,0.000000000000000000e+00,-2.000000000000000111e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000056e-01,2.000000000000000000e+00,-2.629313079520002594e-01,2.505944771230825818e-01,-9.415682764793636224e-05,8.764942025163549371e-05,-3.370246138144700199e-01,1.632098599388482063e-01,-9.828963798069780531e-05,4.991287423406429722e-05,2.000000000000000042e-02,-2.000000000000000111e-01
1.000000000000000056e-01,0.000000000000000000e+00,-3.425035326878571595e-01,1.651175258557994185e-01,-5.768849033365832713e-05,5.069717902098703929e-05,-3.553225574833430156e-01,1.718212283819501862e-01,-1.195472419814141534e-04,5.383053628870879907e-05,2.000000000000000042e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,-3.559105253299277294e-01,1.767983394439742451e-01,-5.801463478908147869e-05,5.593368643528202335e-05,-3.559342924208714898e-01,1.867303844494095366e-01,-1.267238459786244734e-04,6.074342327545552249e-05,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,-3.559460414178109988e-01,1.914981064134257949e-01,-5.769021050712391715e-05,6.323374218079231039e-05,-3.559723468627061238e-01,2.018289857955397615e-01,-1.353189554265501527e-04,6.887140216638515324e-05,0.000000000000000000e+00,0.000000000000000000e+00
-1.000000000000000056e-01,1.000000000000000000e+00,-3.559848995310956887e-01,2.065974786017086007e-01,-5.779717731192175300e-05,7.177458903744648512e-05,-3.522214872081943504e-01,2.163114549930718888e-01,-1.400170090062450071e-04,7.710662539004965949e-05,-2.000000000000000042e-02,2.000000000000000111e-01
