human_action,agent_action,ee_pos_x_prev,ee_pos_y_prev,ee_vel_x_prev,ee_vel_y_prev,ee_pos_x_next,ee_pos_y_next,ee_vel_x_next,ee_vel_y_next,cmd_acc_human,cmd_acc_agent
1.000000000000000056e-01,2.000000000000000000e+00,-1.751088162783326074e-01,1.624232123403772377e-01,-9.409148628496485532e-05,3.663455732702142209e-05,-1.750302150988132799e-01,1.649476644524611735e-01,-9.987367509377836900e-06,3.975226175538584805e-05,2.000000000000000042e-02,-2.000000000000000111e-01
1.000000000000000056e-01,2.000000000000000000e+00,-1.796969211959965618e-01,1.672843219896303080e-01,-5.302661867554518503e-05,4.112624873669213092e-05,-1.961323797327702567e-01,1.755093122030021435e-01,-1.955800641617876055e-05,4.629031064402250111e-05,2.000000000000000042e-02,-2.000000000000000111e-01
0.000000000000000000e+00,0.000000000000000000e+00,-2.066353888649684611e-01,1.807642112544338153e-01,-4.862899277944183519e-05,4.956707904563691992e-05,-2.306397478859374683e-01,1.929264547234748328e-01,-3.922895642935148670e-05,5.720937444344455377e-05,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.000000000000000000e+00,-2.431236971693498117e-01,1.992553953099036879e-01,-4.857917326538329316e-05,6.043233832742032625e-05,-2.709318106568736062e-01,2.114261067349007539e-01,-6.736588060688391113e-05,6.801380987963954886e-05,0.000000000000000000e+00,-2.000000000000000111e-01
0.000000000000000000e+00,1.000000000000000000e+00,-2.871183174804255445e-01,2.172674575240656769e-01,-5.325331631328949881e-05,7.242562121417786168e-05,-3.209242470137064762e-01,2.299251837515048913e-01,-1.169018333123993743e-04,8.294688472122320444e-05,0.000000000000000000e+00,2.000000000000000111e-01
0.000000000000000000e+00,1.000000000000000000e+00,-3.336262303769201298e-01,2.357686667304904338e-01,-5.707331921333370440e-05,8.798381943618733582e-05,-3.541750572306529565e-01,2.479452863376654381e-01,-1.661171579983143783e-04,1.003308052947112687e-04,0.000000000000000000e+00,2.000000000000000111e-01
-1.000000000000000056e-01,2.000000000000000000e+00,-3.548810233673760361e-01,2.542791015353237927e-01,-5.669565316138687277e-05,1.059860000387770308e-04,-3.551945861544309468e-01,2.648611681527804351e-01,-1.828971755922300269e-04,1.156191330328266086e-04,-2.000000000000000042e-02,-2.000000000000000111e-01
-1.000000000000000056e-01,0.000000000000000000e+00,-3.585138137100282174e-01,2.687971558059506494e-01,-5.688524206451640267e-05,1.205486197933764374e-04,-3.596307742516182682e-01,2.733224643780025609e-01,-1.977409163987565348e-04,1.252904880093884486e-04,-2.000000000000000042e-02,0.000000000000000000e+00
-1.000000000000000056e-01,0.000000000000000000e+00,-3.596497900021905503e-01,2.740753408867590002e-01,-5.714248407985575233e-05,1.263720022229610483e-04,-3.596893969147709202e-01,2.726860927675187063e-01,-1.976532762527879517e-04,1.249387830735859575e-04,-2.000000000000000042e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,-3.597096143086875863e-01,2.703821324356427414e-01,-5.675562346703782481e-05,1.223939025889620585e-04,-3.597470492639471273e-01,2.632522816127976228e-01,-1.871674562743841255e-04,1.150009178696207530e-04,0.000000000000000000e+00,0.000000000000000000e+00
