expert,Rewards,Episodes Duration in Seconds,Travelled Distance,Episodes Duration in Timesteps
0.000000000000000000e+00,-4.000000000000000000e+00,2.819999999999993179e+00,3.655984504149516479e-01,1.500000000000000000e+01
0.000000000000000000e+00,2.000000000000000000e+00,1.626000000000004775e+00,2.483974338783604408e-01,9.000000000000000000e+00
0.000000000000000000e+00,-5.000000000000000000e+00,3.019000000000005457e+00,2.834107390195830800e-01,1.600000000000000000e+01
0.000000000000000000e+00,-3.500000000000000000e+01,9.086000000000012733e+00,3.693970804584760237e-01,4.600000000000000000e+01
0.000000000000000000e+00,-1.600000000000000000e+01,5.252000000000009550e+00,4.282269254015426130e-01,2.700000000000000000e+01
0.000000000000000000e+00,0.000000000000000000e+00,2.027000000000043656e+00,2.245500221991215128e-01,1.100000000000000000e+01
0.000000000000000000e+00,-5.000000000000000000e+00,3.025000000000034106e+00,2.974243361338458902e-01,1.600000000000000000e+01
0.000000000000000000e+00,-2.000000000000000000e+01,6.048000000000001819e+00,4.060232940734618823e-01,3.100000000000000000e+01
0.000000000000000000e+00,-3.000000000000000000e+01,8.068000000000040473e+00,7.994494976420307708e-01,4.100000000000000000e+01
0.000000000000000000e+00,-1.800000000000000000e+01,5.663999999999987267e+00,4.378746833429757457e-01,2.900000000000000000e+01
0.000000000000000000e+00,-6.400000000000000000e+01,1.510399999999992815e+01,6.575302303736741960e-01,7.500000000000000000e+01
0.000000000000000000e+00,-1.900000000000000000e+01,5.909999999999968168e+00,3.347881681901883621e-01,3.000000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.064800000000002456e+01,8.449259075382086204e-01,1.500000000000000000e+02
0.000000000000000000e+00,-1.000000000000000000e+01,4.094000000000050932e+00,3.851569469674612223e-01,2.100000000000000000e+01
0.000000000000000000e+00,-8.000000000000000000e+00,3.682000000000016371e+00,4.299655228934104456e-01,1.900000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.043499999999994543e+01,4.892437570360142485e-01,1.500000000000000000e+02
0.000000000000000000e+00,-1.000000000000000000e+00,2.242000000000075488e+00,3.548401901889102206e-01,1.200000000000000000e+01
0.000000000000000000e+00,-3.200000000000000000e+01,8.625999999999976353e+00,9.958521090843803769e-01,4.300000000000000000e+01
0.000000000000000000e+00,-4.000000000000000000e+00,2.846999999999979991e+00,4.095722116784082378e-01,1.500000000000000000e+01
0.000000000000000000e+00,1.000000000000000000e+00,1.839000000000055479e+00,2.651081090361052661e-01,1.000000000000000000e+01
0.000000000000000000e+00,-7.000000000000000000e+00,3.503999999999905413e+00,4.941047179810613699e-01,1.800000000000000000e+01
0.000000000000000000e+00,-1.300000000000000000e+01,4.682000000000016371e+00,5.948243015184044857e-01,2.400000000000000000e+01
0.000000000000000000e+00,-8.000000000000000000e+00,3.655999999999949068e+00,4.235883482795143595e-01,1.900000000000000000e+01
0.000000000000000000e+00,-7.000000000000000000e+00,3.457999999999856300e+00,2.581967893382913215e-01,1.800000000000000000e+01
0.000000000000000000e+00,-6.000000000000000000e+00,3.295999999999821739e+00,4.242674692675807435e-01,1.700000000000000000e+01
0.000000000000000000e+00,-4.000000000000000000e+01,1.024400000000014188e+01,9.461064514780239687e-01,5.100000000000000000e+01
0.000000000000000000e+00,-1.000000000000000000e+00,2.240000000000009095e+00,3.535934639038148530e-01,1.200000000000000000e+01
0.000000000000000000e+00,0.000000000000000000e+00,2.034999999999854481e+00,2.352402514921196064e-01,1.100000000000000000e+01
0.000000000000000000e+00,-2.400000000000000000e+01,6.923000000000001819e+00,7.843530238717485448e-01,3.500000000000000000e+01
0.000000000000000000e+00,-8.000000000000000000e+00,3.657000000000152795e+00,5.240476755409094745e-01,1.900000000000000000e+01
0.000000000000000000e+00,-5.000000000000000000e+00,3.084000000000060027e+00,4.357571238793560009e-01,1.600000000000000000e+01
0.000000000000000000e+00,-7.000000000000000000e+00,3.451000000000021828e+00,5.291300299652683670e-01,1.800000000000000000e+01
0.000000000000000000e+00,5.000000000000000000e+00,1.020999999999958163e+00,2.359870774143197070e-01,6.000000000000000000e+00
0.000000000000000000e+00,5.000000000000000000e+00,1.023000000000138243e+00,2.111388819301019126e-01,6.000000000000000000e+00
0.000000000000000000e+00,-2.000000000000000000e+01,6.096000000000003638e+00,8.001745380455923540e-01,3.100000000000000000e+01
0.000000000000000000e+00,-1.900000000000000000e+01,5.963999999999941792e+00,7.141720823115975669e-01,3.000000000000000000e+01
0.000000000000000000e+00,-1.700000000000000000e+01,5.538999999999987267e+00,7.584085640614466328e-01,2.800000000000000000e+01
0.000000000000000000e+00,-1.000000000000000000e+00,2.233999999999923602e+00,3.022314506287753777e-01,1.200000000000000000e+01
0.000000000000000000e+00,-3.000000000000000000e+00,2.644999999999981810e+00,4.342722565154052417e-01,1.400000000000000000e+01
0.000000000000000000e+00,-2.800000000000000000e+01,7.761999999999943611e+00,8.671241942398304481e-01,3.900000000000000000e+01
0.000000000000000000e+00,-1.300000000000000000e+01,4.678000000000110958e+00,6.110233640186414350e-01,2.400000000000000000e+01
0.000000000000000000e+00,-3.000000000000000000e+00,2.644000000000005457e+00,4.205989428514280148e-01,1.400000000000000000e+01
0.000000000000000000e+00,1.000000000000000000e+00,1.850999999999658030e+00,3.619680030549596861e-01,1.000000000000000000e+01
0.000000000000000000e+00,-7.900000000000000000e+01,1.829999999999972715e+01,2.062840013960148156e+00,9.000000000000000000e+01
0.000000000000000000e+00,-5.000000000000000000e+00,3.047000000000025466e+00,4.231252624979120469e-01,1.600000000000000000e+01
0.000000000000000000e+00,2.000000000000000000e+00,1.630999999999858119e+00,3.252845102460198978e-01,9.000000000000000000e+00
0.000000000000000000e+00,-1.500000000000000000e+01,5.090999999999894499e+00,7.073729775575374745e-01,2.600000000000000000e+01
0.000000000000000000e+00,2.000000000000000000e+00,1.636000000000422006e+00,3.133028399455538571e-01,9.000000000000000000e+00
0.000000000000000000e+00,-3.900000000000000000e+01,9.969999999999799911e+00,1.159439609231102120e+00,5.000000000000000000e+01
0.000000000000000000e+00,-6.000000000000000000e+00,3.252000000000407454e+00,5.072686894702497229e-01,1.700000000000000000e+01
0.000000000000000000e+00,-3.200000000000000000e+01,8.557000000000243745e+00,7.752757507947135585e-01,4.300000000000000000e+01
0.000000000000000000e+00,4.000000000000000000e+00,1.224999999999909051e+00,2.467291295851409272e-01,7.000000000000000000e+00
0.000000000000000000e+00,-2.000000000000000000e+01,6.108999999999923602e+00,7.319551567415462090e-01,3.100000000000000000e+01
0.000000000000000000e+00,1.000000000000000000e+00,1.844000000000050932e+00,3.139684239537190447e-01,1.000000000000000000e+01
0.000000000000000000e+00,-3.000000000000000000e+00,2.649000000000341970e+00,4.452483761355132685e-01,1.400000000000000000e+01
0.000000000000000000e+00,-3.000000000000000000e+01,8.178999999999632564e+00,1.011129903898359661e+00,4.100000000000000000e+01
0.000000000000000000e+00,-7.000000000000000000e+00,3.463999999999941792e+00,5.483758106530369769e-01,1.800000000000000000e+01
0.000000000000000000e+00,-6.000000000000000000e+00,3.246000000000094587e+00,3.896697082116591382e-01,1.700000000000000000e+01
