expert,Rewards,Episodes Duration in Seconds,Travelled Distance,Episodes Duration in Timesteps
0.000000000000000000e+00,-1.500000000000000000e+02,3.019599999999999795e+01,2.186559219008819888e+00,1.500000000000000000e+02
0.000000000000000000e+00,-8.000000000000000000e+00,3.643000000000000682e+00,4.594206070509310180e-01,1.900000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.007800000000000296e+01,2.022296052774897213e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.009999999999999432e+01,2.070892087133329618e+00,1.500000000000000000e+02
0.000000000000000000e+00,-4.800000000000000000e+01,1.174299999999999500e+01,7.223668676775220066e-01,5.900000000000000000e+01
0.000000000000000000e+00,-1.000000000000000000e+00,2.232000000000027740e+00,2.498181911721621407e-01,1.200000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.006400000000002137e+01,2.053225090060377234e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.600000000000000000e+01,5.240999999999985448e+00,5.456679670409394500e-01,2.700000000000000000e+01
0.000000000000000000e+00,-1.200000000000000000e+01,4.443999999999959982e+00,3.188604864547996964e-01,2.300000000000000000e+01
0.000000000000000000e+00,-3.000000000000000000e+00,2.624000000000023647e+00,2.958451137365490369e-01,1.400000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.053900000000010095e+01,2.103332804167521886e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.058600000000001273e+01,1.225694798691568721e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.048599999999999000e+01,2.232980525933845328e+00,1.500000000000000000e+02
0.000000000000000000e+00,-8.300000000000000000e+01,1.901499999999998636e+01,1.376178976528041664e+00,9.400000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.042600000000004457e+01,2.344058836674905333e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.056300000000010186e+01,2.341305962427184362e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.260000000000000000e+02,2.766399999999998727e+01,2.883709915815943159e+00,1.370000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.027499999999986358e+01,1.773711902322545830e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.042900000000008731e+01,1.204180830048345197e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.041100000000005821e+01,1.215145104982120028e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.051199999999994361e+01,3.900983206782280832e-01,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.048199999999997090e+01,1.071256405454650285e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.044200000000000728e+01,3.604752795427926815e-01,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.033699999999998909e+01,6.249303987378870273e-01,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.029999999999995453e+01,3.187848115662347270e-01,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.045199999999999818e+01,7.075706033398513339e-01,1.500000000000000000e+02
