human_action,agent_action,ee_pos_x_prev,ee_pos_y_prev,ee_pos_x_next,ee_pos_y_next,cmd_acc_human,cmd_acc_agent
-1.000000000000000056e-01,2.000000000000000000e+00,9.955433105307519570e-01,8.183303485009838993e-03,9.944085549358731013e-01,5.791721591386476790e-03,-2.000000000000000042e-02,-2.000000000000000111e-01
-1.000000000000000056e-01,1.000000000000000000e+00,9.944085549358731013e-01,5.791721591386476790e-03,9.713364012319000151e-01,5.834105035571387869e-03,-2.000000000000000042e-02,2.000000000000000111e-01
1.000000000000000056e-01,1.000000000000000000e+00,9.713364012319000151e-01,5.834105035571387869e-03,9.922027659791433640e-01,6.592614877357608552e-03,2.000000000000000042e-02,2.000000000000000111e-01
1.000000000000000056e-01,0.000000000000000000e+00,9.922027659791433640e-01,6.592614877357608552e-03,9.994361433785710069e-01,2.331243825084599458e-02,2.000000000000000042e-02,0.000000000000000000e+00
1.000000000000000056e-01,1.000000000000000000e+00,9.994361433785710069e-01,2.331243825084599458e-02,9.994281262371194074e-01,6.213712605659856003e-02,2.000000000000000042e-02,2.000000000000000111e-01
0.000000000000000000e+00,1.000000000000000000e+00,9.994281262371194074e-01,6.213712605659856003e-02,9.994240175817135086e-01,1.256347430093210371e-01,0.000000000000000000e+00,2.000000000000000111e-01
0.000000000000000000e+00,1.000000000000000000e+00,9.994240175817135086e-01,1.256347430093210371e-01,9.994188053085615309e-01,1.946473374468301876e-01,0.000000000000000000e+00,2.000000000000000111e-01
0.000000000000000000e+00,2.000000000000000000e+00,9.994188053085615309e-01,1.946473374468301876e-01,9.785884235610639026e-01,2.636647377636144318e-01,0.000000000000000000e+00,-2.000000000000000111e-01
0.000000000000000000e+00,0.000000000000000000e+00,9.785884235610639026e-01,2.636647377636144318e-01,9.346182791624476627e-01,3.326864462976329984e-01,0.000000000000000000e+00,0.000000000000000000e+00
-1.000000000000000056e-01,2.000000000000000000e+00,9.346182791624476627e-01,3.326864462976329984e-01,8.697751524447695504e-01,3.998144373746041480e-01,-2.000000000000000042e-02,-2.000000000000000111e-01
-1.000000000000000056e-01,2.000000000000000000e+00,8.697751524447695504e-01,3.998144373746041480e-01,7.556622665838594877e-01,4.501024510087641706e-01,-2.000000000000000042e-02,-2.000000000000000111e-01
0.000000000000000000e+00,2.000000000000000000e+00,7.556622665838594877e-01,4.501024510087641706e-01,6.010931867396759332e-01,4.786116064440993356e-01,0.000000000000000000e+00,-2.000000000000000111e-01
0.000000000000000000e+00,1.000000000000000000e+00,6.010931867396759332e-01,4.786116064440993356e-01,4.442739810385689658e-01,5.043079360392256349e-01,0.000000000000000000e+00,2.000000000000000111e-01
0.000000000000000000e+00,1.000000000000000000e+00,4.442739810385689658e-01,5.043079360392256349e-01,3.313923795687036544e-01,5.300290542297226848e-01,0.000000000000000000e+00,2.000000000000000111e-01
0.000000000000000000e+00,0.000000000000000000e+00,3.313923795687036544e-01,5.300290542297226848e-01,2.432662309743845452e-01,5.557645024174674431e-01,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.000000000000000000e+00,2.432662309743845452e-01,5.557645024174674431e-01,1.308104249404242470e-01,5.825310835962426159e-01,0.000000000000000000e+00,-2.000000000000000111e-01
-1.000000000000000056e-01,2.000000000000000000e+00,1.308104249404242470e-01,5.825310835962426159e-01,3.631615493653573678e-03,6.023081657125252120e-01,-2.000000000000000042e-02,-2.000000000000000111e-01
0.000000000000000000e+00,0.000000000000000000e+00,3.631615493653573678e-03,6.023081657125252120e-01,3.426321040091238890e-03,6.026943655119795240e-01,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.000000000000000000e+00,3.426321040091238890e-03,6.026943655119795240e-01,3.221591647548551884e-03,5.992965841234141333e-01,0.000000000000000000e+00,-2.000000000000000111e-01
0.000000000000000000e+00,2.000000000000000000e+00,3.221591647548551884e-03,5.992965841234141333e-01,3.017570113835414420e-03,5.958981064410949768e-01,0.000000000000000000e+00,-2.000000000000000111e-01
0.000000000000000000e+00,2.000000000000000000e+00,3.017570113835414420e-03,5.958981064410949768e-01,2.814252393411366578e-03,5.924989366749447983e-01,0.000000000000000000e+00,-2.000000000000000111e-01
-1.000000000000000056e-01,2.000000000000000000e+00,2.814252393411366578e-03,5.924989366749447983e-01,2.604030724314186553e-03,5.842246984620084183e-01,-2.000000000000000042e-02,-2.000000000000000111e-01
-1.000000000000000056e-01,1.000000000000000000e+00,2.604030724314186553e-03,5.842246984620084183e-01,2.328191491231516516e-02,5.553034027779166770e-01,-2.000000000000000042e-02,2.000000000000000111e-01
0.000000000000000000e+00,1.000000000000000000e+00,2.328191491231516516e-02,5.553034027779166770e-01,8.792756108753464750e-02,5.069680632301034606e-01,0.000000000000000000e+00,2.000000000000000111e-01
1.000000000000000056e-01,1.000000000000000000e+00,8.792756108753464750e-02,5.069680632301034606e-01,1.965605013802664558e-01,4.594289135867921647e-01,2.000000000000000042e-02,2.000000000000000111e-01
1.000000000000000056e-01,1.000000000000000000e+00,1.965605013802664558e-01,4.594289135867921647e-01,3.562016952321628849e-01,4.313342555691350722e-01,2.000000000000000042e-02,2.000000000000000111e-01
1.000000000000000056e-01,2.000000000000000000e+00,3.562016952321628849e-01,4.313342555691350722e-01,5.128058770139543032e-01,4.268530668362353064e-01,2.000000000000000042e-02,-2.000000000000000111e-01
