human_action,agent_action,ee_pos_x_prev,ee_pos_y_prev,ee_vel_x_prev,ee_vel_y_prev,ee_pos_x_next,ee_pos_y_next,ee_vel_x_next,ee_vel_y_next,cmd_acc_human,cmd_acc_agent
1.000000000000000056e-01,0.000000000000000000e+00,9.889284134376993274e-01,9.998396694975678622e-01,4.742122045513345596e-01,1.685414495173820915e-01,1.015209876538404332e+00,1.463562122335248204e-02,4.778214659617827653e-01,1.671344244210517249e-01,2.000000000000000042e-02,0.000000000000000000e+00
1.000000000000000056e-01,0.000000000000000000e+00,1.015209876538404332e+00,1.463562122335248204e-02,4.752690144214984369e-01,1.671344244210517249e-01,1.015201456453829865e+00,4.720126240932701056e-02,4.777549161181233184e-01,1.671588260070993592e-01,2.000000000000000042e-02,0.000000000000000000e+00
0.000000000000000000e+00,2.000000000000000000e+00,1.015201456453829865e+00,4.720126240932701056e-02,4.751534945846869751e-01,1.671588260070993592e-01,9.943239086455705200e-01,1.005511819203752932e-01,4.775875776345871460e-01,1.672069035443608520e-01,0.000000000000000000e+00,-2.000000000000000111e-01
0.000000000000000000e+00,1.000000000000000000e+00,9.943239086455705200e-01,1.005511819203752932e-01,4.751885407071199108e-01,1.672069035443608520e-01,9.712537916182505393e-01,1.607220246122892104e-01,4.774025196111530422e-01,1.672598455646692739e-01,0.000000000000000000e+00,2.000000000000000111e-01
0.000000000000000000e+00,1.000000000000000000e+00,9.712537916182505393e-01,1.607220246122892104e-01,4.754085170312102315e-01,1.672598455646692739e-01,9.921049208916820072e-01,2.208924292641464560e-01,4.773231806963817436e-01,1.673060108282942993e-01,0.000000000000000000e+00,2.000000000000000111e-01
0.000000000000000000e+00,2.000000000000000000e+00,9.921049208916820072e-01,2.208924292641464560e-01,4.756970827622647446e-01,1.673060108282942993e-01,9.832794382273161160e-01,2.834756971718822016e-01,4.771601564898543812e-01,1.673636348408849561e-01,0.000000000000000000e+00,-2.000000000000000111e-01
0.000000000000000000e+00,2.000000000000000000e+00,9.832794382273161160e-01,2.834756971718822016e-01,4.759453524460223184e-01,1.673636348408849561e-01,9.236905184275898684e-01,3.436547264009134350e-01,4.768310950765690115e-01,1.674345403230448337e-01,0.000000000000000000e+00,-2.000000000000000111e-01
0.000000000000000000e+00,0.000000000000000000e+00,9.236905184275898684e-01,3.436547264009134350e-01,4.760966013408685638e-01,1.674345403230448337e-01,8.410215065200078444e-01,4.038357780851437040e-01,4.763890442660291824e-01,1.675135140464463490e-01,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,8.410215065200078444e-01,4.038357780851437040e-01,4.762399649688340841e-01,1.675135140464463490e-01,7.583332264927301614e-01,4.640237571895489133e-01,4.758927492769010614e-01,1.675986053616821125e-01,0.000000000000000000e+00,0.000000000000000000e+00
-1.000000000000000056e-01,1.000000000000000000e+00,7.583332264927301614e-01,4.640237571895489133e-01,4.764957496904264622e-01,1.675986053616821125e-01,6.932048939111256081e-01,5.218966289064925768e-01,4.753930179963319347e-01,1.676915261877308383e-01,-2.000000000000000042e-02,2.000000000000000111e-01
-1.000000000000000056e-01,1.000000000000000000e+00,6.932048939111256081e-01,5.218966289064925768e-01,4.766782178924132696e-01,1.676915261877308383e-01,6.753211168822211841e-01,5.565842706618054914e-01,4.751981787421625247e-01,1.677390820727769627e-01,-2.000000000000000042e-02,2.000000000000000111e-01
-1.000000000000000056e-01,2.000000000000000000e+00,6.753211168822211841e-01,5.565842706618054914e-01,4.767490089721281854e-01,1.677390820727769627e-01,6.596296181830265670e-01,5.691750699369798605e-01,4.750800555412966197e-01,1.677607028119521004e-01,-2.000000000000000042e-02,-2.000000000000000111e-01
0.000000000000000000e+00,2.000000000000000000e+00,6.596296181830265670e-01,5.691750699369798605e-01,4.768052110831826340e-01,1.677607028119521004e-01,5.999860119706352801e-01,5.597550135535089844e-01,4.748299572453093531e-01,1.677651310050018441e-01,0.000000000000000000e+00,-2.000000000000000111e-01
0.000000000000000000e+00,0.000000000000000000e+00,5.999860119706352801e-01,5.597550135535089844e-01,4.768360031339369809e-01,1.677651310050018441e-01,5.122081358372233550e-01,5.405431100168608394e-01,4.744459718642733415e-01,1.677674439255129046e-01,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,4.953097419906740129e-01,5.368485193063198269e-01,4.742122045513345596e-01,1.677674917320604586e-01,4.764841385222045450e-02,4.838618815374581914e-04,4.736517844167888458e-01,1.673053725014049531e-01,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.000000000000000000e+00,4.764841385222045450e-02,4.838618815374581914e-04,4.752690144214984369e-01,1.673053725014049531e-01,1.981636772364186224e-03,5.402890600489879212e-04,4.733346601337934945e-01,1.673110329010734365e-01,0.000000000000000000e+00,-2.000000000000000111e-01
0.000000000000000000e+00,0.000000000000000000e+00,1.981636772364186224e-03,5.402890600489879212e-04,4.751534945846869751e-01,1.673110329010734365e-01,1.857139804391914244e-03,6.000938862502954840e-04,4.733337600683149571e-01,1.673110157395844011e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000056e-01,0.000000000000000000e+00,1.857139804391914244e-03,6.000938862502954840e-04,4.751885407071199108e-01,1.673110157395844011e-01,1.727744550870798220e-03,5.997212507663465114e-03,4.733185770270125214e-01,1.673153001868687428e-01,2.000000000000000042e-02,0.000000000000000000e+00
