human_action,agent_action,ee_pos_x_prev,ee_pos_y_prev,ee_pos_x_next,ee_pos_y_next,cmd_acc_human,cmd_acc_agent
1.000000000000000056e-01,0.000000000000000000e+00,-3.559448066102423036e-01,1.625616997804306685e-01,-1.712318181848462295e-01,1.647960716652363267e-01,2.000000000000000042e-02,0.000000000000000000e+00
1.000000000000000056e-01,0.000000000000000000e+00,-1.712318181848462295e-01,1.647960716652363267e-01,-1.712333573334635373e-01,1.708574906505704871e-01,2.000000000000000042e-02,0.000000000000000000e+00
1.000000000000000056e-01,0.000000000000000000e+00,-1.712333573334635373e-01,1.708574906505704871e-01,-1.712341543251328924e-01,1.807670535514780963e-01,2.000000000000000042e-02,0.000000000000000000e+00
0.000000000000000000e+00,2.000000000000000000e+00,-1.712341543251328924e-01,1.807670535514780963e-01,-1.750366501639867289e-01,1.938206761275506340e-01,0.000000000000000000e+00,-2.000000000000000111e-01
-1.000000000000000056e-01,2.000000000000000000e+00,-1.750366501639867289e-01,1.938206761275506340e-01,-1.868400204505233919e-01,2.070514958381570736e-01,-2.000000000000000042e-02,-2.000000000000000111e-01
-1.000000000000000056e-01,0.000000000000000000e+00,-1.868400204505233919e-01,2.070514958381570736e-01,-2.028447387651420852e-01,2.176459151410556625e-01,-2.000000000000000042e-02,0.000000000000000000e+00
0.000000000000000000e+00,2.000000000000000000e+00,-2.028447387651420852e-01,2.176459151410556625e-01,-2.223417220646586867e-01,2.243323552587493941e-01,0.000000000000000000e+00,-2.000000000000000111e-01
0.000000000000000000e+00,2.000000000000000000e+00,-2.223417220646586867e-01,2.243323552587493941e-01,-2.498335810260805256e-01,2.297808019590706352e-01,0.000000000000000000e+00,-2.000000000000000111e-01
0.000000000000000000e+00,1.000000000000000000e+00,-2.498335810260805256e-01,2.297808019590706352e-01,-2.793114125699127648e-01,2.354483544149806595e-01,0.000000000000000000e+00,2.000000000000000111e-01
0.000000000000000000e+00,2.000000000000000000e+00,-2.793114125699127648e-01,2.354483544149806595e-01,-3.071325499606106235e-01,2.408995993847444783e-01,0.000000000000000000e+00,-2.000000000000000111e-01
-1.000000000000000056e-01,1.000000000000000000e+00,-3.071325499606106235e-01,2.408995993847444783e-01,-3.353529712941714647e-01,2.461282079347729967e-01,-2.000000000000000042e-02,2.000000000000000111e-01
