human_action,agent_action,ee_pos_x_prev,ee_pos_y_prev,ee_vel_x_prev,ee_vel_y_prev,ee_pos_x_next,ee_pos_y_next,ee_vel_x_next,ee_vel_y_next,cmd_acc_human,cmd_acc_agent
1.000000000000000056e-01,0.000000000000000000e+00,9.950403547207239408e-01,3.255924075717854249e-01,4.742310618196026728e-01,1.673760688469956848e-01,1.015209571348595352e+00,1.125209911846876496e-03,4.778582147238274458e-01,1.671231602435252206e-01,2.000000000000000042e-02,0.000000000000000000e+00
1.000000000000000056e-01,0.000000000000000000e+00,1.015209571348595352e+00,1.125209911846876496e-03,4.753539518042880219e-01,1.671231602435252206e-01,1.015200351092855557e+00,1.782727443477205229e-02,4.778200122569091213e-01,1.671360489654012682e-01,2.000000000000000042e-02,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,1.015200351092855557e+00,1.782727443477205229e-02,4.753416027131983079e-01,1.671360489654012682e-01,1.015193638233160112e+00,5.662472098968819589e-02,4.777355677120264654e-01,1.671660091870888487e-01,0.000000000000000000e+00,2.000000000000000111e-01
0.000000000000000000e+00,1.000000000000000000e+00,1.015193638233160112e+00,5.662472098968819589e-02,4.753422456978334543e-01,1.671660091870888487e-01,1.015186584587421947e+00,1.072433797904501079e-01,4.776278433228459130e-01,1.672060269925723375e-01,0.000000000000000000e+00,2.000000000000000111e-01
0.000000000000000000e+00,0.000000000000000000e+00,1.015186584587421947e+00,1.072433797904501079e-01,4.754117483142552558e-01,1.672060269925723375e-01,1.015176843548786456e+00,1.559182614194578598e-01,4.775295273200132473e-01,1.672447438443220025e-01,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,1.015176843548786456e+00,1.559182614194578598e-01,4.756362397414438115e-01,1.672447438443220025e-01,1.015164196086557169e+00,2.045963639378345356e-01,4.774175787079167899e-01,1.672874517611482315e-01,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,1.015164196086557169e+00,2.045963639378345356e-01,4.759327965178405950e-01,1.672874517611482315e-01,1.015148636922363012e+00,2.532778607829231365e-01,4.773153720496876029e-01,1.673292863042711298e-01,0.000000000000000000e+00,2.000000000000000111e-01
0.000000000000000000e+00,1.000000000000000000e+00,1.015148636922363012e+00,2.532778607829231365e-01,4.761405321341438679e-01,1.673292863042711298e-01,1.015130080745627827e+00,3.019629862525168296e-01,4.771975947508783067e-01,1.673760528121945867e-01,0.000000000000000000e+00,2.000000000000000111e-01
0.000000000000000000e+00,2.000000000000000000e+00,1.015130080745627827e+00,3.019629862525168296e-01,4.763044672625967868e-01,1.673760528121945867e-01,9.942523377309677723e-01,3.525994742394908954e-01,4.770186005507924820e-01,1.674297106284659553e-01,0.000000000000000000e+00,-2.000000000000000111e-01
0.000000000000000000e+00,2.000000000000000000e+00,9.942523377309677723e-01,3.525994742394908954e-01,4.764667939556473386e-01,1.674297106284659553e-01,9.293909297780711398e-01,4.012883835635902563e-01,4.767051562926621910e-01,1.674903248294637714e-01,0.000000000000000000e+00,-2.000000000000000111e-01
