expert,Rewards,Episodes Duration in Seconds,Travelled Distance,Episodes Duration in Timesteps
0.000000000000000000e+00,-1.700000000000000000e+01,5.454000000000007731e+00,5.057921919730795635e-01,2.800000000000000000e+01
0.000000000000000000e+00,-1.000000000000000000e+01,4.034999999999996589e+00,4.505213295853940370e-01,2.100000000000000000e+01
0.000000000000000000e+00,-4.700000000000000000e+01,1.148699999999999477e+01,6.294103155776948899e-01,5.800000000000000000e+01
0.000000000000000000e+00,-1.900000000000000000e+01,5.856999999999999318e+00,3.559812670806049573e-01,3.000000000000000000e+01
0.000000000000000000e+00,-5.700000000000000000e+01,1.355699999999998795e+01,7.391101480023916093e-01,6.800000000000000000e+01
0.000000000000000000e+00,-1.300000000000000000e+01,4.657999999999987040e+00,3.523984787965703247e-01,2.400000000000000000e+01
0.000000000000000000e+00,-2.000000000000000000e+01,6.067000000000007276e+00,4.649146301117383917e-01,3.100000000000000000e+01
0.000000000000000000e+00,-7.000000000000000000e+00,3.434000000000025921e+00,3.481245892631924521e-01,1.800000000000000000e+01
0.000000000000000000e+00,-8.000000000000000000e+00,3.634000000000014552e+00,4.188377622780298792e-01,1.900000000000000000e+01
0.000000000000000000e+00,-3.600000000000000000e+01,9.281999999999982265e+00,5.294105742696968431e-01,4.700000000000000000e+01
0.000000000000000000e+00,-9.000000000000000000e+00,3.861999999999966349e+00,4.245203232691046602e-01,2.000000000000000000e+01
0.000000000000000000e+00,-1.600000000000000000e+01,5.273000000000024556e+00,5.791544084026719608e-01,2.700000000000000000e+01
0.000000000000000000e+00,-1.200000000000000000e+01,4.472999999999956344e+00,5.802731915861194523e-01,2.300000000000000000e+01
0.000000000000000000e+00,1.000000000000000000e+00,1.823999999999955435e+00,3.261525179893796089e-01,1.000000000000000000e+01
0.000000000000000000e+00,-2.300000000000000000e+01,6.712000000000102773e+00,6.605073158511500786e-01,3.400000000000000000e+01
0.000000000000000000e+00,-1.000000000000000000e+01,4.064999999999940883e+00,4.622152469482625481e-01,2.100000000000000000e+01
0.000000000000000000e+00,1.000000000000000000e+00,1.831000000000017280e+00,2.720930396027185227e-01,1.000000000000000000e+01
0.000000000000000000e+00,-1.800000000000000000e+01,5.740999999999985448e+00,6.189745214693705977e-01,2.900000000000000000e+01
