human_action,agent_action,ee_pos_x_prev,ee_pos_y_prev,ee_pos_x_next,ee_pos_y_next,cmd_acc_human,cmd_acc_agent
0.000000000000000000e+00,0.000000000000000000e+00,9.916961856388585295e-01,7.255766715205652813e-03,1.015209194897080502e+00,5.792659356990903334e-03,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,1.015209194897080502e+00,5.792659356990903334e-03,1.015198992648461696e+00,5.835231653994250867e-03,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000056e-01,2.000000000000000000e+00,1.015198992648461696e+00,5.835231653994250867e-03,9.943260351726596058e-01,1.636836606730127097e-02,2.000000000000000042e-02,-2.000000000000000111e-01
1.000000000000000056e-01,1.000000000000000000e+00,9.943260351726596058e-01,1.636836606730127097e-02,9.712023915902674442e-01,4.897797398620330062e-02,2.000000000000000042e-02,2.000000000000000111e-01
0.000000000000000000e+00,0.000000000000000000e+00,9.712023915902674442e-01,4.897797398620330062e-02,9.728639127741147696e-01,9.838827352232346057e-02,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,9.728639127741147696e-01,9.838827352232346057e-02,9.955176128611720188e-01,1.508461873343080184e-01,0.000000000000000000e+00,2.000000000000000111e-01
0.000000000000000000e+00,2.000000000000000000e+00,9.955176128611720188e-01,1.508461873343080184e-01,9.818854085397973330e-01,2.012924051929472491e-01,0.000000000000000000e+00,-2.000000000000000111e-01
0.000000000000000000e+00,1.000000000000000000e+00,9.818854085397973330e-01,2.012924051929472491e-01,9.589192025388574292e-01,2.537612703194652153e-01,0.000000000000000000e+00,2.000000000000000111e-01
0.000000000000000000e+00,1.000000000000000000e+00,9.589192025388574292e-01,2.537612703194652153e-01,9.814573930942580571e-01,3.042132165321462800e-01,0.000000000000000000e+00,2.000000000000000111e-01
0.000000000000000000e+00,1.000000000000000000e+00,9.814573930942580571e-01,3.042132165321462800e-01,9.982172155801624092e-01,3.566869887888089452e-01,0.000000000000000000e+00,2.000000000000000111e-01
0.000000000000000000e+00,0.000000000000000000e+00,9.982172155801624092e-01,3.566869887888089452e-01,9.981912178236478361e-01,4.071490770028682871e-01,0.000000000000000000e+00,0.000000000000000000e+00
-1.000000000000000056e-01,0.000000000000000000e+00,9.981912178236478361e-01,4.071490770028682871e-01,9.981598382275024273e-01,4.479839578032097647e-01,-2.000000000000000042e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.981598382275024273e-01,4.479839578032097647e-01,9.981215907946984212e-01,4.671667692433523200e-01,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.000000000000000000e+00,9.981215907946984212e-01,4.671667692433523200e-01,9.772471049973641133e-01,4.760880021862427536e-01,0.000000000000000000e+00,-2.000000000000000111e-01
0.000000000000000000e+00,1.000000000000000000e+00,9.772471049973641133e-01,4.760880021862427536e-01,9.540838352944428502e-01,4.850105993370278923e-01,0.000000000000000000e+00,2.000000000000000111e-01
0.000000000000000000e+00,0.000000000000000000e+00,9.540838352944428502e-01,4.850105993370278923e-01,9.557708725240985359e-01,4.942923926562025061e-01,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,9.557708725240985359e-01,4.942923926562025061e-01,9.783653235647457036e-01,5.032167906647869726e-01,0.000000000000000000e+00,2.000000000000000111e-01
0.000000000000000000e+00,2.000000000000000000e+00,9.783653235647457036e-01,5.032167906647869726e-01,9.969000312069298264e-01,5.121414795589068758e-01,0.000000000000000000e+00,-2.000000000000000111e-01
0.000000000000000000e+00,1.000000000000000000e+00,9.969000312069298264e-01,5.121414795589068758e-01,1.001825538379146341e+00,5.210680689587533498e-01,0.000000000000000000e+00,2.000000000000000111e-01
0.000000000000000000e+00,1.000000000000000000e+00,1.001825538379146341e+00,5.210680689587533498e-01,1.032887127062434462e+00,5.303502542571162381e-01,0.000000000000000000e+00,2.000000000000000111e-01
-1.000000000000000056e-01,0.000000000000000000e+00,1.032887127062434462e+00,5.303502542571162381e-01,1.032847476576187695e+00,5.296251055677223540e-01,-2.000000000000000042e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,1.032847476576187695e+00,5.296251055677223540e-01,1.032809561256691211e+00,5.095440932661802202e-01,0.000000000000000000e+00,0.000000000000000000e+00
