human_action,agent_action,ee_pos_x_prev,ee_pos_y_prev,ee_vel_x_prev,ee_vel_y_prev,ee_pos_x_next,ee_pos_y_next,ee_vel_x_next,ee_vel_y_next,cmd_acc_human,cmd_acc_agent
1.000000000000000056e-01,1.000000000000000000e+00,9.946183982304135363e-01,1.000738809876520197e+00,4.742211595112261757e-01,1.685434205078867598e-01,1.015209196049120521e+00,5.991555916133724409e-03,4.778470698888634405e-01,1.671268829851847160e-01,2.000000000000000042e-02,2.000000000000000111e-01
1.000000000000000056e-01,2.000000000000000000e+00,1.015209196049120521e+00,5.991555916133724409e-03,4.754372154932833272e-01,1.671268829851847160e-01,9.943190972291575669e-01,2.006386619153135639e-02,4.777640966993449423e-01,1.671444027434474122e-01,2.000000000000000042e-02,-2.000000000000000111e-01
0.000000000000000000e+00,2.000000000000000000e+00,9.943190972291575669e-01,2.006386619153135639e-02,4.755422808222293241e-01,1.671444027434474122e-01,9.294680359010780712e-01,5.614630213209145099e-02,4.775049552861017066e-01,1.671918626793172380e-01,0.000000000000000000e+00,-2.000000000000000111e-01
0.000000000000000000e+00,2.000000000000000000e+00,9.294680359010780712e-01,5.614630213209145099e-02,4.754519062002511842e-01,1.671918626793172380e-01,8.206499616387914475e-01,1.012751493590695745e-01,4.770834422738242098e-01,1.672537283346982040e-01,0.000000000000000000e+00,-2.000000000000000111e-01
0.000000000000000000e+00,1.000000000000000000e+00,8.206499616387914475e-01,1.012751493590695745e-01,4.752787684493576248e-01,1.672537283346982040e-01,7.025890721094610880e-01,1.482140869503227043e-01,4.765660419611063015e-01,1.673152437594765674e-01,0.000000000000000000e+00,2.000000000000000111e-01
0.000000000000000000e+00,1.000000000000000000e+00,7.025890721094610880e-01,1.482140869503227043e-01,4.749815086203952319e-01,1.673152437594765674e-01,6.337447962494533460e-01,1.933604737350606839e-01,4.762027840336600093e-01,1.673600882995388839e-01,0.000000000000000000e+00,2.000000000000000111e-01
0.000000000000000000e+00,0.000000000000000000e+00,6.337447962494533460e-01,1.933604737350606839e-01,4.745535821740522464e-01,1.673600882995388839e-01,5.896494504689180349e-01,2.385127468063357181e-01,4.758977803003916485e-01,1.674062044157541562e-01,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,5.896494504689180349e-01,2.385127468063357181e-01,4.741108732753997468e-01,1.674062044157541562e-01,5.438733561368543912e-01,2.854752083470024626e-01,4.755507092465799390e-01,1.674587621820720629e-01,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,5.438733561368543912e-01,2.854752083470024626e-01,4.736220869855132243e-01,1.674587621820720629e-01,4.998492354828170114e-01,3.306357745800957981e-01,4.751798896471213784e-01,1.675154817916780503e-01,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,4.998492354828170114e-01,3.306357745800957981e-01,4.731904682763913295e-01,1.675154817916780503e-01,4.767046212343124534e-01,3.758016282560041610e-01,4.749214065067994262e-01,1.675665879950423987e-01,0.000000000000000000e+00,2.000000000000000111e-01
-1.000000000000000056e-01,2.000000000000000000e+00,4.767046212343124534e-01,3.758016282560041610e-01,4.730502282010284887e-01,1.675665879950423987e-01,4.557252971175261846e-01,4.204637805610301204e-01,4.746391942277295439e-01,1.676250602706222115e-01,-2.000000000000000042e-02,-2.000000000000000111e-01
0.000000000000000000e+00,0.000000000000000000e+00,4.557252971175261846e-01,4.204637805610301204e-01,4.731754870002077840e-01,1.676250602706222115e-01,4.100050953436242263e-01,4.498357389746944768e-01,4.742403457224482755e-01,1.676803305291712509e-01,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,4.100050953436242263e-01,4.498357389746944768e-01,4.734887119294673430e-01,1.676803305291712509e-01,3.641867214503571870e-01,4.676130086639037065e-01,4.739026131274158282e-01,1.677177180335840123e-01,0.000000000000000000e+00,0.000000000000000000e+00
