human_action,agent_action,ee_pos_x_prev,ee_pos_y_prev,ee_pos_x_next,ee_pos_y_next,cmd_acc_human,cmd_acc_agent
-1.000000000000000056e-01,1.000000000000000000e+00,-1.748922730851766860e-01,1.657170557716368120e-01,-3.287616893303501042e-01,3.203389503805139094e-01,-2.000000000000000042e-02,2.000000000000000111e-01
-1.000000000000000056e-01,0.000000000000000000e+00,-3.287616893303501042e-01,3.203389503805139094e-01,-3.208012833122341201e-01,3.154330729053999582e-01,-2.000000000000000042e-02,0.000000000000000000e+00
-1.000000000000000056e-01,2.000000000000000000e+00,-3.208012833122341201e-01,3.154330729053999582e-01,-3.166353615073033145e-01,3.065242190968963110e-01,-2.000000000000000042e-02,-2.000000000000000111e-01
0.000000000000000000e+00,1.000000000000000000e+00,-3.166353615073033145e-01,3.065242190968963110e-01,-3.128718435942522413e-01,2.940269121498007010e-01,0.000000000000000000e+00,2.000000000000000111e-01
1.000000000000000056e-01,2.000000000000000000e+00,-3.128718435942522413e-01,2.940269121498007010e-01,-3.087002452412039855e-01,2.815923190380987817e-01,2.000000000000000042e-02,-2.000000000000000111e-01
1.000000000000000056e-01,2.000000000000000000e+00,-3.087002452412039855e-01,2.815923190380987817e-01,-3.125141906200163966e-01,2.727887109927403797e-01,2.000000000000000042e-02,-2.000000000000000111e-01
1.000000000000000056e-01,2.000000000000000000e+00,-3.125141906200163966e-01,2.727887109927403797e-01,-3.243419893918841890e-01,2.679895809546571916e-01,2.000000000000000042e-02,-2.000000000000000111e-01
0.000000000000000000e+00,0.000000000000000000e+00,-3.243419893918841890e-01,2.679895809546571916e-01,-3.403704004113670134e-01,2.668458152097116787e-01,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,-3.403704004113670134e-01,2.668458152097116787e-01,-3.558437149094835217e-01,2.663869768593744580e-01,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,-3.558437149094835217e-01,2.663869768593744580e-01,-3.558802927408830641e-01,2.659309162638129331e-01,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.000000000000000000e+00,-3.558802927408830641e-01,2.659309162638129331e-01,-3.559182217936641690e-01,2.654565099576430276e-01,0.000000000000000000e+00,-2.000000000000000111e-01
0.000000000000000000e+00,2.000000000000000000e+00,-3.559182217936641690e-01,2.654565099576430276e-01,-3.559531462466138385e-01,2.650185109870607514e-01,0.000000000000000000e+00,-2.000000000000000111e-01
0.000000000000000000e+00,1.000000000000000000e+00,-3.559531462466138385e-01,2.650185109870607514e-01,-3.521888148187635181e-01,2.645436437031944421e-01,0.000000000000000000e+00,2.000000000000000111e-01
0.000000000000000000e+00,0.000000000000000000e+00,-3.521888148187635181e-01,2.645436437031944421e-01,-3.442241717891867392e-01,2.640860627683291884e-01,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.000000000000000000e+00,-3.442241717891867392e-01,2.640860627683291884e-01,-3.400579643983985823e-01,2.636282770090265237e-01,0.000000000000000000e+00,-2.000000000000000111e-01
0.000000000000000000e+00,0.000000000000000000e+00,-3.400579643983985823e-01,2.636282770090265237e-01,-3.400882829554091602e-01,2.631705313932318213e-01,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,-3.400882829554091602e-01,2.631705313932318213e-01,-3.363181304416557604e-01,2.627124543777351051e-01,0.000000000000000000e+00,2.000000000000000111e-01
0.000000000000000000e+00,1.000000000000000000e+00,-3.363181304416557604e-01,2.627124543777351051e-01,-3.245472375676272669e-01,2.622527443786872303e-01,0.000000000000000000e+00,2.000000000000000111e-01
0.000000000000000000e+00,0.000000000000000000e+00,-3.245472375676272669e-01,2.622527443786872303e-01,-3.076171611817787865e-01,2.617726612194568037e-01,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.000000000000000000e+00,-3.076171611817787865e-01,2.617726612194568037e-01,-2.951218980929162794e-01,2.613110955767419252e-01,0.000000000000000000e+00,-2.000000000000000111e-01
0.000000000000000000e+00,0.000000000000000000e+00,-2.951218980929162794e-01,2.613110955767419252e-01,-2.868218920906618896e-01,2.608497996521729756e-01,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,-2.868218920906618896e-01,2.608497996521729756e-01,-2.747218677735355774e-01,2.603873746634593478e-01,0.000000000000000000e+00,2.000000000000000111e-01
0.000000000000000000e+00,0.000000000000000000e+00,-2.747218677735355774e-01,2.603873746634593478e-01,-2.581156086862850807e-01,2.599232976649624161e-01,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.000000000000000000e+00,-2.581156086862850807e-01,2.599232976649624161e-01,-2.446278960152957205e-01,2.594409308880525900e-01,0.000000000000000000e+00,-2.000000000000000111e-01
0.000000000000000000e+00,1.000000000000000000e+00,-2.446278960152957205e-01,2.594409308880525900e-01,-2.321989307868703167e-01,2.589768179235754086e-01,0.000000000000000000e+00,2.000000000000000111e-01
0.000000000000000000e+00,2.000000000000000000e+00,-2.321989307868703167e-01,2.589768179235754086e-01,-2.193683599959145303e-01,2.585121579853035256e-01,0.000000000000000000e+00,-2.000000000000000111e-01
0.000000000000000000e+00,0.000000000000000000e+00,-2.193683599959145303e-01,2.585121579853035256e-01,-2.107114393113162232e-01,2.580294861178369925e-01,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,-2.107114393113162232e-01,2.580294861178369925e-01,-1.986019838498391255e-01,2.575643608399600937e-01,0.000000000000000000e+00,2.000000000000000111e-01
0.000000000000000000e+00,1.000000000000000000e+00,-1.986019838498391255e-01,2.575643608399600937e-01,-1.784914595220841727e-01,2.570965097066337246e-01,0.000000000000000000e+00,2.000000000000000111e-01
0.000000000000000000e+00,1.000000000000000000e+00,-1.784914595220841727e-01,2.570965097066337246e-01,-1.744111423995187982e-01,2.566310662511901985e-01,0.000000000000000000e+00,2.000000000000000111e-01
0.000000000000000000e+00,0.000000000000000000e+00,-1.744111423995187982e-01,2.566310662511901985e-01,-1.744185755928992776e-01,2.561664690040787451e-01,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,-1.744185755928992776e-01,2.561664690040787451e-01,-1.744262647303886360e-01,2.556832257464616287e-01,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,-1.744262647303886360e-01,2.556832257464616287e-01,-1.744336186170760139e-01,2.552185095043184582e-01,0.000000000000000000e+00,0.000000000000000000e+00
