human_action,agent_action,ee_pos_x_prev,ee_pos_y_prev,ee_vel_x_prev,ee_vel_y_prev,ee_pos_x_next,ee_pos_y_next,ee_vel_x_next,ee_vel_y_next,cmd_acc_human,cmd_acc_agent
0.000000000000000000e+00,1.000000000000000000e+00,-3.451552168267056353e-01,1.874305290329931206e-01,-9.314055204096444726e-05,9.435460227688545324e-05,-1.712319264877322778e-01,1.630484710933792492e-01,-9.506839463784272761e-06,3.864510723648505251e-05,0.000000000000000000e+00,2.000000000000000111e-01
0.000000000000000000e+00,1.000000000000000000e+00,-1.712319264877322778e-01,1.630484710933792492e-01,-6.700944418526598326e-05,3.864510723648505251e-05,-1.712337840467640093e-01,1.630561771145090100e-01,-9.478401037577940759e-06,3.863153964290996474e-05,0.000000000000000000e+00,2.000000000000000111e-01
0.000000000000000000e+00,1.000000000000000000e+00,-1.712337840467640093e-01,1.630561771145090100e-01,-6.891471137556007308e-05,3.863153964290996474e-05,-1.712356352129744685e-01,1.630638800235659491e-01,-9.418679033943963788e-06,3.860019648284333132e-05,0.000000000000000000e+00,2.000000000000000111e-01
1.000000000000000056e-01,2.000000000000000000e+00,-1.712356352129744685e-01,1.630638800235659491e-01,-7.130017043338846992e-05,3.860019648284333132e-05,-1.747303941039996811e-01,1.631074513389739189e-01,-1.050307173739705997e-05,3.934561459490353095e-05,2.000000000000000042e-02,-2.000000000000000111e-01
1.000000000000000056e-01,1.000000000000000000e+00,-1.747303941039996811e-01,1.631074513389739189e-01,-7.345597300233963601e-05,3.934561459490353095e-05,-1.792335752955762085e-01,1.658397313763376735e-01,-1.274757531478880849e-05,4.072664218119181174e-05,2.000000000000000042e-02,2.000000000000000111e-01
1.000000000000000056e-01,1.000000000000000000e+00,-1.792335752955762085e-01,1.658397313763376735e-01,-8.054638275000971679e-05,4.072664218119181174e-05,-1.754367464930365328e-01,1.725472325435826737e-01,-1.334192800727540997e-05,4.250792528556789681e-05,2.000000000000000042e-02,2.000000000000000111e-01
0.000000000000000000e+00,0.000000000000000000e+00,-1.754367464930365328e-01,1.725472325435826737e-01,-9.009697319024896774e-05,4.250792528556789681e-05,-1.741191207241192807e-01,1.830834495957840424e-01,-1.596471425021125725e-05,4.630696155348540790e-05,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.000000000000000000e+00,-1.741191207241192807e-01,1.830834495957840424e-01,-9.495195049701179264e-05,4.630696155348540790e-05,-1.779208292737640140e-01,1.946145881644680276e-01,-2.025645119343086049e-05,5.104219395773740043e-05,0.000000000000000000e+00,-2.000000000000000111e-01
0.000000000000000000e+00,2.000000000000000000e+00,-1.779208292737640140e-01,1.946145881644680276e-01,-9.165013985819616923e-05,5.104219395773740043e-05,-1.903618190287235667e-01,2.066072540894340059e-01,-2.826183249558249271e-05,5.714123123391750555e-05,0.000000000000000000e+00,-2.000000000000000111e-01
0.000000000000000000e+00,1.000000000000000000e+00,-1.903618190287235667e-01,2.066072540894340059e-01,-8.704529825169359674e-05,5.714123123391750555e-05,-2.028843915214356697e-01,2.181395739308288617e-01,-3.704318668760560502e-05,6.321391683414943224e-05,0.000000000000000000e+00,2.000000000000000111e-01
0.000000000000000000e+00,1.000000000000000000e+00,-2.028843915214356697e-01,2.181395739308288617e-01,-8.788315871561191376e-05,6.321391683414943224e-05,-2.074204384723821737e-01,2.296735392387909691e-01,-4.307656096653414180e-05,6.888000144645727062e-05,0.000000000000000000e+00,2.000000000000000111e-01
0.000000000000000000e+00,2.000000000000000000e+00,-2.074204384723821737e-01,2.296735392387909691e-01,-8.899818674020239348e-05,6.888000144645727062e-05,-2.115496064431886536e-01,2.412084746159879334e-01,-4.940252178566820630e-05,7.509386309577858413e-05,0.000000000000000000e+00,-2.000000000000000111e-01
-1.000000000000000056e-01,0.000000000000000000e+00,-2.115496064431886536e-01,2.412084746159879334e-01,-8.465697775598096761e-05,7.509386309577858413e-05,-2.198777830554349277e-01,2.512825725899289764e-01,-5.802876585961907086e-05,8.172979033346946219e-05,-2.000000000000000042e-02,0.000000000000000000e+00
-1.000000000000000056e-01,0.000000000000000000e+00,-2.198777830554349277e-01,2.512825725899289764e-01,-8.053816638498874749e-05,8.172979033346946219e-05,-2.282098109359570470e-01,2.573990038977612138e-01,-6.496700188088640041e-05,8.605869590537079943e-05,-2.000000000000000042e-02,0.000000000000000000e+00
