human_action,agent_action,ee_pos_x_prev,ee_pos_y_prev,ee_pos_x_next,ee_pos_y_next,cmd_acc_human,cmd_acc_agent
1.000000000000000056e-01,1.000000000000000000e+00,-1.757663003064067198e-01,1.924569238233998503e-01,-1.712319001810205243e-01,1.627924654788495129e-01,2.000000000000000042e-02,2.000000000000000111e-01
1.000000000000000056e-01,1.000000000000000000e+00,-1.712319001810205243e-01,1.627924654788495129e-01,-1.712335856231476661e-01,1.661388201662203357e-01,2.000000000000000042e-02,2.000000000000000111e-01
1.000000000000000056e-01,2.000000000000000000e+00,-1.712335856231476661e-01,1.661388201662203357e-01,-1.750351815426107460e-01,1.734870918933006378e-01,2.000000000000000042e-02,-2.000000000000000111e-01
0.000000000000000000e+00,1.000000000000000000e+00,-1.750351815426107460e-01,1.734870918933006378e-01,-1.798512109217433874e-01,1.842648644999388130e-01,0.000000000000000000e+00,2.000000000000000111e-01
0.000000000000000000e+00,2.000000000000000000e+00,-1.798512109217433874e-01,1.842648644999388130e-01,-1.839976390282339058e-01,1.959245935331084543e-01,0.000000000000000000e+00,-2.000000000000000111e-01
0.000000000000000000e+00,2.000000000000000000e+00,-1.839976390282339058e-01,1.959245935331084543e-01,-1.961222017828824493e-01,2.071361353947665795e-01,0.000000000000000000e+00,-2.000000000000000111e-01
0.000000000000000000e+00,2.000000000000000000e+00,-1.961222017828824493e-01,2.071361353947665795e-01,-2.162479093850722123e-01,2.183469696778594371e-01,0.000000000000000000e+00,-2.000000000000000111e-01
0.000000000000000000e+00,0.000000000000000000e+00,-2.162479093850722123e-01,2.183469696778594371e-01,-2.408819608692039371e-01,2.295577668097883162e-01,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,-2.408819608692039371e-01,2.295577668097883162e-01,-2.620385410588348396e-01,2.407710961979610542e-01,0.000000000000000000e+00,2.000000000000000111e-01
-1.000000000000000056e-01,0.000000000000000000e+00,-2.620385410588348396e-01,2.407710961979610542e-01,-2.793782261897855279e-01,2.506874430830897116e-01,-2.000000000000000042e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,-2.793782261897855279e-01,2.506874430830897116e-01,-2.960378874000461069e-01,2.565777601523243634e-01,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.000000000000000000e+00,-2.960378874000461069e-01,2.565777601523243634e-01,-3.165020829935798474e-01,2.618746083024635074e-01,0.000000000000000000e+00,-2.000000000000000111e-01
-1.000000000000000056e-01,2.000000000000000000e+00,-3.165020829935798474e-01,2.618746083024635074e-01,-3.449657596042700614e-01,2.668890032148213409e-01,-2.000000000000000042e-02,-2.000000000000000111e-01
-1.000000000000000056e-01,0.000000000000000000e+00,-3.449657596042700614e-01,2.668890032148213409e-01,-3.556970947534190963e-01,2.686839012275077376e-01,-2.000000000000000042e-02,0.000000000000000000e+00
0.000000000000000000e+00,2.000000000000000000e+00,-3.556970947534190963e-01,2.686839012275077376e-01,-3.557339748617173170e-01,2.674084585593209384e-01,0.000000000000000000e+00,-2.000000000000000111e-01
0.000000000000000000e+00,1.000000000000000000e+00,-3.557339748617173170e-01,2.674084585593209384e-01,-3.519716653992516764e-01,2.659924604887411448e-01,0.000000000000000000e+00,2.000000000000000111e-01
0.000000000000000000e+00,1.000000000000000000e+00,-3.519716653992516764e-01,2.659924604887411448e-01,-3.402047146835089353e-01,2.645745052665322561e-01,0.000000000000000000e+00,2.000000000000000111e-01
0.000000000000000000e+00,1.000000000000000000e+00,-3.402047146835089353e-01,2.645745052665322561e-01,-3.204330488011065681e-01,2.631531911593592010e-01,0.000000000000000000e+00,2.000000000000000111e-01
-1.000000000000000056e-01,0.000000000000000000e+00,-3.204330488011065681e-01,2.631531911593592010e-01,-2.951823128122607054e-01,2.610127721655788879e-01,-2.000000000000000042e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,-2.951823128122607054e-01,2.610127721655788879e-01,-2.708815804030298979e-01,2.560432547167958428e-01,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.000000000000000000e+00,-2.660210172655353977e-01,2.549899746732435246e-01,-3.132270831733622307e-01,1.620674755941258482e-01,0.000000000000000000e+00,-2.000000000000000111e-01
1.000000000000000056e-01,0.000000000000000000e+00,-3.132270831733622307e-01,1.620674755941258482e-01,-2.969196194773318087e-01,1.624898971568192740e-01,2.000000000000000042e-02,0.000000000000000000e+00
