expert,Rewards,Episodes Duration in Seconds,Travelled Distance,Episodes Duration in Timesteps
0.000000000000000000e+00,-9.000000000000000000e+00,3.837000000000017508e+00,3.420514281473271412e-01,2.000000000000000000e+01
0.000000000000000000e+00,-2.300000000000000000e+01,6.697999999999979082e+00,4.768059874471092252e-01,3.400000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+01,5.038000000000010914e+00,4.191015316957898973e-01,2.600000000000000000e+01
0.000000000000000000e+00,-3.000000000000000000e+01,8.078000000000002956e+00,5.548678493248724308e-01,4.100000000000000000e+01
0.000000000000000000e+00,-1.900000000000000000e+01,5.850999999999999091e+00,4.689626864945947715e-01,3.000000000000000000e+01
0.000000000000000000e+00,1.000000000000000000e+00,1.829999999999984084e+00,2.282690290402473732e-01,1.000000000000000000e+01
0.000000000000000000e+00,-8.000000000000000000e+01,1.828600000000000136e+01,1.157542403979247014e+00,9.100000000000000000e+01
0.000000000000000000e+00,-5.000000000000000000e+00,3.026000000000010459e+00,3.694285484503584960e-01,1.600000000000000000e+01
0.000000000000000000e+00,-4.200000000000000000e+01,1.050100000000003320e+01,6.990342181280819744e-01,5.300000000000000000e+01
0.000000000000000000e+00,-4.300000000000000000e+01,1.068899999999996453e+01,6.256125070265836641e-01,5.400000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.030200000000002092e+01,6.179985439824482452e-01,1.500000000000000000e+02
0.000000000000000000e+00,-1.090000000000000000e+02,2.422100000000000364e+01,7.543848901212781843e-01,1.200000000000000000e+02
0.000000000000000000e+00,-2.400000000000000000e+01,6.921999999999911779e+00,3.570041068357404090e-01,3.500000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.069500000000005002e+01,7.855204708234644340e-01,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.029599999999993543e+01,7.968989183132187959e-01,1.500000000000000000e+02
0.000000000000000000e+00,-1.300000000000000000e+01,4.708000000000083674e+00,5.135075559505326570e-01,2.400000000000000000e+01
0.000000000000000000e+00,-1.400000000000000000e+01,4.884999999999990905e+00,5.519355710301439011e-01,2.500000000000000000e+01
0.000000000000000000e+00,-2.300000000000000000e+01,6.742999999999938154e+00,6.868809161456412848e-01,3.400000000000000000e+01
0.000000000000000000e+00,-1.100000000000000000e+01,4.275000000000090949e+00,5.352794767033468570e-01,2.200000000000000000e+01
0.000000000000000000e+00,-7.000000000000000000e+00,3.459999999999809006e+00,5.379582366744052324e-01,1.800000000000000000e+01
0.000000000000000000e+00,-2.800000000000000000e+01,7.737000000000080036e+00,7.230978332068037640e-01,3.900000000000000000e+01
0.000000000000000000e+00,5.000000000000000000e+00,1.025000000000090949e+00,2.264909468320295827e-01,6.000000000000000000e+00
0.000000000000000000e+00,-2.800000000000000000e+01,7.734999999999899956e+00,7.757962999929199910e-01,3.900000000000000000e+01
0.000000000000000000e+00,1.000000000000000000e+00,1.837999999999965439e+00,2.526916671456810870e-01,1.000000000000000000e+01
0.000000000000000000e+00,-1.000000000000000000e+00,2.238000000000056389e+00,4.104581509140257101e-01,1.200000000000000000e+01
0.000000000000000000e+00,-6.000000000000000000e+00,3.272999999999910870e+00,5.373798964364338016e-01,1.700000000000000000e+01
0.000000000000000000e+00,-1.000000000000000000e+01,4.060999999999921783e+00,4.891036330972414747e-01,2.100000000000000000e+01
0.000000000000000000e+00,-9.000000000000000000e+00,3.865000000000009095e+00,3.826221543267690484e-01,2.000000000000000000e+01
0.000000000000000000e+00,-1.000000000000000000e+00,2.240999999999985448e+00,4.176916817439438878e-01,1.200000000000000000e+01
0.000000000000000000e+00,-9.000000000000000000e+00,3.868999999999914507e+00,5.445366642688032055e-01,2.000000000000000000e+01
0.000000000000000000e+00,-2.000000000000000000e+00,2.471999999999979991e+00,4.199487491600424338e-01,1.300000000000000000e+01
0.000000000000000000e+00,-8.000000000000000000e+00,3.663000000000010914e+00,5.252337720424213874e-01,1.900000000000000000e+01
0.000000000000000000e+00,-1.600000000000000000e+01,5.375999999999976353e+00,7.041125324389465590e-01,2.700000000000000000e+01
0.000000000000000000e+00,-2.000000000000000000e+00,2.451000000000021828e+00,3.224832156070981948e-01,1.300000000000000000e+01
0.000000000000000000e+00,-3.000000000000000000e+00,2.634000000000014552e+00,4.105772321053320351e-01,1.400000000000000000e+01
0.000000000000000000e+00,-2.000000000000000000e+00,2.440000000000054570e+00,3.544290741407836176e-01,1.300000000000000000e+01
0.000000000000000000e+00,-8.000000000000000000e+00,3.673000000000229193e+00,4.878101214524795948e-01,1.900000000000000000e+01
0.000000000000000000e+00,-1.600000000000000000e+01,5.297999999999774445e+00,5.688466908720467563e-01,2.700000000000000000e+01
0.000000000000000000e+00,-3.000000000000000000e+00,2.641000000000076398e+00,4.095190084128219610e-01,1.400000000000000000e+01
0.000000000000000000e+00,-4.000000000000000000e+00,2.851999999999861757e+00,3.922115612826203024e-01,1.500000000000000000e+01
0.000000000000000000e+00,2.000000000000000000e+00,1.628000000000156433e+00,2.635863476001535921e-01,9.000000000000000000e+00
0.000000000000000000e+00,-1.500000000000000000e+02,3.029300000000012005e+01,2.214840718000351316e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.800000000000000000e+01,5.697000000000116415e+00,8.383263325780988540e-01,2.900000000000000000e+01
0.000000000000000000e+00,-7.000000000000000000e+01,1.631600000000025830e+01,1.145545414046290844e+00,8.100000000000000000e+01
