human_action,agent_action,ee_pos_x_prev,ee_pos_y_prev,ee_pos_x_next,ee_pos_y_next,cmd_acc_human,cmd_acc_agent
0.000000000000000000e+00,0.000000000000000000e+00,-3.559237492472434594e-01,2.373355102030619279e-01,-1.712319345925804870e-01,1.628957118085147815e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000056e-01,1.000000000000000000e+00,-1.712319345925804870e-01,1.628957118085147815e-01,-1.712337635405573044e-01,1.638194595440369550e-01,2.000000000000000042e-02,2.000000000000000111e-01
1.000000000000000056e-01,0.000000000000000000e+00,-1.712337635405573044e-01,1.638194595440369550e-01,-1.712353242149303456e-01,1.686036860800493031e-01,2.000000000000000042e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,-1.712353242149303456e-01,1.686036860800493031e-01,-1.712363086930632494e-01,1.773298142292316637e-01,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,-1.712363086930632494e-01,1.773298142292316637e-01,-1.712374479854718301e-01,1.874200053391497645e-01,0.000000000000000000e+00,2.000000000000000111e-01
0.000000000000000000e+00,2.000000000000000000e+00,-1.712374479854718301e-01,1.874200053391497645e-01,-1.750413789594726377e-01,1.979145887940475801e-01,0.000000000000000000e+00,-2.000000000000000111e-01
0.000000000000000000e+00,0.000000000000000000e+00,-1.750413789594726377e-01,1.979145887940475801e-01,-1.830435738137318191e-01,2.080061800412722484e-01,0.000000000000000000e+00,0.000000000000000000e+00
-1.000000000000000056e-01,1.000000000000000000e+00,-1.830435738137318191e-01,2.080061800412722484e-01,-1.872497760140436340e-01,2.177554875479396357e-01,-2.000000000000000042e-02,2.000000000000000111e-01
-1.000000000000000056e-01,1.000000000000000000e+00,-1.872497760140436340e-01,2.177554875479396357e-01,-1.834568142060412077e-01,2.241888012074900183e-01,-2.000000000000000042e-02,2.000000000000000111e-01
0.000000000000000000e+00,2.000000000000000000e+00,-1.834568142060412077e-01,2.241888012074900183e-01,-1.786244291475981294e-01,2.279635253424021346e-01,0.000000000000000000e+00,-2.000000000000000111e-01
0.000000000000000000e+00,0.000000000000000000e+00,-1.786244291475981294e-01,2.279635253424021346e-01,-1.783087976769515137e-01,2.314967694722129266e-01,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,-1.783087976769515137e-01,2.314967694722129266e-01,-1.779949695072945981e-01,2.350303389022402878e-01,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.000000000000000000e+00,-1.779949695072945981e-01,2.350303389022402878e-01,-1.814815922007013693e-01,2.385641466841685598e-01,0.000000000000000000e+00,-2.000000000000000111e-01
0.000000000000000000e+00,0.000000000000000000e+00,-1.814815922007013693e-01,2.385641466841685598e-01,-1.897918903670074153e-01,2.422394149714063305e-01,0.000000000000000000e+00,0.000000000000000000e+00
-1.000000000000000056e-01,0.000000000000000000e+00,-1.897918903670074153e-01,2.422394149714063305e-01,-1.978004261879032222e-01,2.453610437579945847e-01,-2.000000000000000042e-02,0.000000000000000000e+00
-1.000000000000000056e-01,0.000000000000000000e+00,-1.978004261879032222e-01,2.453610437579945847e-01,-2.058097214133480790e-01,2.450764893865342298e-01,-2.000000000000000042e-02,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,-2.058097214133480790e-01,2.450764893865342298e-01,-2.103249212224116982e-01,2.423930109555793855e-01,0.000000000000000000e+00,2.000000000000000111e-01
1.000000000000000056e-01,0.000000000000000000e+00,-2.103249212224116982e-01,2.423930109555793855e-01,-2.103505562503670268e-01,2.407631570306852931e-01,2.000000000000000042e-02,0.000000000000000000e+00
0.000000000000000000e+00,2.000000000000000000e+00,-2.103505562503670268e-01,2.407631570306852931e-01,-2.141559762911975640e-01,2.425978012222561875e-01,0.000000000000000000e+00,-2.000000000000000111e-01
0.000000000000000000e+00,1.000000000000000000e+00,-2.141559762911975640e-01,2.425978012222561875e-01,-2.183712944631546748e-01,2.448529725774340193e-01,0.000000000000000000e+00,2.000000000000000111e-01
0.000000000000000000e+00,0.000000000000000000e+00,-2.183712944631546748e-01,2.448529725774340193e-01,-2.183836656492528783e-01,2.471085791553032929e-01,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,-2.183836656492528783e-01,2.471085791553032929e-01,-2.183950622350645521e-01,2.494546671588935005e-01,0.000000000000000000e+00,0.000000000000000000e+00
-1.000000000000000056e-01,0.000000000000000000e+00,-2.183950622350645521e-01,2.494546671588935005e-01,-2.184062234114070855e-01,2.512227584261443880e-01,-2.000000000000000042e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,-2.184062234114070855e-01,2.512227584261443880e-01,-2.184174030307838021e-01,2.497796654562289553e-01,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,-2.184174030307838021e-01,2.497796654562289553e-01,-2.184283612580543155e-01,2.475555359154217316e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000056e-01,1.000000000000000000e+00,-2.184283612580543155e-01,2.475555359154217316e-01,-2.149622672904416276e-01,2.453477994518714067e-01,2.000000000000000042e-02,2.000000000000000111e-01
1.000000000000000056e-01,0.000000000000000000e+00,-2.149622672904416276e-01,2.453477994518714067e-01,-2.066702674476835200e-01,2.455766933834167276e-01,2.000000000000000042e-02,0.000000000000000000e+00
0.000000000000000000e+00,2.000000000000000000e+00,-2.066702674476835200e-01,2.455766933834167276e-01,-2.021531459796548913e-01,2.481429543010358341e-01,0.000000000000000000e+00,-2.000000000000000111e-01
0.000000000000000000e+00,2.000000000000000000e+00,-2.021531459796548913e-01,2.481429543010358341e-01,-2.059150813285915427e-01,2.508214343465182128e-01,0.000000000000000000e+00,-2.000000000000000111e-01
0.000000000000000000e+00,0.000000000000000000e+00,-2.059150813285915427e-01,2.508214343465182128e-01,-2.139240036743888518e-01,2.533969703641058002e-01,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,-2.139240036743888518e-01,2.533969703641058002e-01,-2.219355226355745891e-01,2.559729789778680820e-01,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,-2.219355226355745891e-01,2.559729789778680820e-01,-2.302686237707985417e-01,2.586525545952110816e-01,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.000000000000000000e+00,-2.302686237707985417e-01,2.586525545952110816e-01,-2.420617990410642295e-01,2.612289920518683362e-01,0.000000000000000000e+00,-2.000000000000000111e-01
-1.000000000000000056e-01,1.000000000000000000e+00,-2.420617990410642295e-01,2.612289920518683362e-01,-2.552479149727481800e-01,2.631586213367751448e-01,-2.000000000000000042e-02,2.000000000000000111e-01
0.000000000000000000e+00,2.000000000000000000e+00,-2.552479149727481800e-01,2.631586213367751448e-01,-2.673692409573685258e-01,2.620359892259816470e-01,0.000000000000000000e+00,-2.000000000000000111e-01
0.000000000000000000e+00,1.000000000000000000e+00,-2.673692409573685258e-01,2.620359892259816470e-01,-2.805387202400901892e-01,2.606134027824333899e-01,0.000000000000000000e+00,2.000000000000000111e-01
0.000000000000000000e+00,0.000000000000000000e+00,-2.805387202400901892e-01,2.606134027824333899e-01,-2.895632690447231816e-01,2.591350146800339149e-01,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.000000000000000000e+00,-2.895632690447231816e-01,2.591350146800339149e-01,-3.017082959191723646e-01,2.577130157544602618e-01,0.000000000000000000e+00,-2.000000000000000111e-01
0.000000000000000000e+00,1.000000000000000000e+00,-3.017082959191723646e-01,2.577130157544602618e-01,-3.152420660982645506e-01,2.562343537428081741e-01,0.000000000000000000e+00,2.000000000000000111e-01
0.000000000000000000e+00,1.000000000000000000e+00,-3.152420660982645506e-01,2.562343537428081741e-01,-3.201302196088491314e-01,2.548139845655568725e-01,0.000000000000000000e+00,2.000000000000000111e-01
0.000000000000000000e+00,0.000000000000000000e+00,-3.201302196088491314e-01,2.548139845655568725e-01,-3.205076379592948221e-01,2.533369406658480538e-01,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,-3.205076379592948221e-01,2.533369406658480538e-01,-3.208672738191518103e-01,2.518596640154737165e-01,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.000000000000000000e+00,-3.208672738191518103e-01,2.518596640154737165e-01,-3.249987100143177932e-01,2.504388484558417449e-01,0.000000000000000000e+00,-2.000000000000000111e-01
1.000000000000000056e-01,2.000000000000000000e+00,-3.249987100143177932e-01,2.504388484558417449e-01,-3.377738316487929326e-01,2.493706331410115162e-01,2.000000000000000042e-02,-2.000000000000000111e-01
0.000000000000000000e+00,0.000000000000000000e+00,-3.377738316487929326e-01,2.493706331410115162e-01,-3.544395660743038245e-01,2.517424531861296999e-01,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,-3.544395660743038245e-01,2.517424531861296999e-01,-3.559705920116192357e-01,2.557639706088121190e-01,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.000000000000000000e+00,-3.559705920116192357e-01,2.557639706088121190e-01,-3.560063856501813895e-01,2.599473531703931362e-01,0.000000000000000000e+00,-2.000000000000000111e-01
-1.000000000000000056e-01,0.000000000000000000e+00,-3.560063856501813895e-01,2.599473531703931362e-01,-3.560415862611366333e-01,2.637514080665138150e-01,-2.000000000000000042e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,-3.560415862611366333e-01,2.637514080665138150e-01,-3.560789509750816872e-01,2.645177342385452990e-01,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.000000000000000000e+00,-3.560789509750816872e-01,2.645177342385452990e-01,-3.561148586792964865e-01,2.640614766516328760e-01,0.000000000000000000e+00,-2.000000000000000111e-01
0.000000000000000000e+00,2.000000000000000000e+00,-3.561148586792964865e-01,2.640614766516328760e-01,-3.561521087159036925e-01,2.635868763048239138e-01,0.000000000000000000e+00,-2.000000000000000111e-01
0.000000000000000000e+00,0.000000000000000000e+00,-3.561521087159036925e-01,2.635868763048239138e-01,-3.561878210654919052e-01,2.631304331837727717e-01,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.000000000000000000e+00,-3.561878210654919052e-01,2.631304331837727717e-01,-3.562234423246213311e-01,2.626739018739663312e-01,0.000000000000000000e+00,-2.000000000000000111e-01
0.000000000000000000e+00,2.000000000000000000e+00,-3.562234423246213311e-01,2.626739018739663312e-01,-3.562589796859920721e-01,2.622172865358222138e-01,0.000000000000000000e+00,-2.000000000000000111e-01
0.000000000000000000e+00,1.000000000000000000e+00,-3.562589796859920721e-01,2.622172865358222138e-01,-3.525161685364832653e-01,2.617420391840127869e-01,0.000000000000000000e+00,2.000000000000000111e-01
0.000000000000000000e+00,0.000000000000000000e+00,-3.525161685364832653e-01,2.617420391840127869e-01,-3.445506413661180711e-01,2.612840747683474740e-01,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.000000000000000000e+00,-3.445506413661180711e-01,2.612840747683474740e-01,-3.400423890058081877e-01,2.608075687099636331e-01,0.000000000000000000e+00,-2.000000000000000111e-01
0.000000000000000000e+00,2.000000000000000000e+00,-3.400423890058081877e-01,2.608075687099636331e-01,-3.438559460917435806e-01,2.603493087470815648e-01,0.000000000000000000e+00,-2.000000000000000111e-01
0.000000000000000000e+00,2.000000000000000000e+00,-3.438559460917435806e-01,2.603493087470815648e-01,-3.556657755634728968e-01,2.598903330360823327e-01,0.000000000000000000e+00,-2.000000000000000111e-01
0.000000000000000000e+00,2.000000000000000000e+00,-3.556657755634728968e-01,2.598903330360823327e-01,-3.557789397316543645e-01,2.594331081898038627e-01,0.000000000000000000e+00,-2.000000000000000111e-01
0.000000000000000000e+00,1.000000000000000000e+00,-3.557789397316543645e-01,2.594331081898038627e-01,-3.520433351735735017e-01,2.589572438237405794e-01,0.000000000000000000e+00,2.000000000000000111e-01
0.000000000000000000e+00,0.000000000000000000e+00,-3.520433351735735017e-01,2.589572438237405794e-01,-3.440771100822166972e-01,2.584987258817678102e-01,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.000000000000000000e+00,-3.440771100822166972e-01,2.584987258817678102e-01,-3.395733085635281867e-01,2.580399831391667620e-01,0.000000000000000000e+00,-2.000000000000000111e-01
0.000000000000000000e+00,0.000000000000000000e+00,-3.395733085635281867e-01,2.580399831391667620e-01,-3.395871994617685741e-01,2.575629321726923271e-01,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,-3.395871994617685741e-01,2.575629321726923271e-01,-3.396173703840138502e-01,2.571041337025307683e-01,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,-3.396173703840138502e-01,2.571041337025307683e-01,-3.396474605050118778e-01,2.566452560788505810e-01,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,-3.396474605050118778e-01,2.566452560788505810e-01,-3.396774565315269223e-01,2.561862920755296757e-01,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,-3.396774565315269223e-01,2.561862920755296757e-01,-3.397085532478417713e-01,2.557088785142098142e-01,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,-3.397085532478417713e-01,2.557088785142098142e-01,-3.397383871612771888e-01,2.552497553484597281e-01,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.000000000000000000e+00,-3.397383871612771888e-01,2.552497553484597281e-01,-3.435454990644817297e-01,2.547720697295410841e-01,0.000000000000000000e+00,-2.000000000000000111e-01
0.000000000000000000e+00,2.000000000000000000e+00,-3.435454990644817297e-01,2.547720697295410841e-01,-3.553524836992491553e-01,2.543120493379694702e-01,0.000000000000000000e+00,-2.000000000000000111e-01
0.000000000000000000e+00,0.000000000000000000e+00,-3.553524836992491553e-01,2.543120493379694702e-01,-3.554643492725619858e-01,2.538537271620691649e-01,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,-3.554643492725619858e-01,2.538537271620691649e-01,-3.554977344811650064e-01,2.533953333577658729e-01,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,-3.554977344811650064e-01,2.533953333577658729e-01,-3.555323533512392276e-01,2.529185116933584387e-01,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,-3.555323533512392276e-01,2.529185116933584387e-01,-3.517810963615591868e-01,2.524596889518912479e-01,0.000000000000000000e+00,2.000000000000000111e-01
0.000000000000000000e+00,0.000000000000000000e+00,-3.517810963615591868e-01,2.524596889518912479e-01,-3.431777336183220450e-01,2.519814860527067601e-01,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.000000000000000000e+00,-3.431777336183220450e-01,2.519814860527067601e-01,-3.386708158144022818e-01,2.515215196221611826e-01,0.000000000000000000e+00,-2.000000000000000111e-01
0.000000000000000000e+00,0.000000000000000000e+00,-3.386708158144022818e-01,2.515215196221611826e-01,-3.386819541942792111e-01,2.510615780984364331e-01,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,-3.386819541942792111e-01,2.510615780984364331e-01,-3.387117501655817486e-01,2.505831539346534131e-01,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.000000000000000000e+00,-3.387117501655817486e-01,2.505831539346534131e-01,-3.422156929244025703e-01,2.501229658303497638e-01,0.000000000000000000e+00,-2.000000000000000111e-01
0.000000000000000000e+00,0.000000000000000000e+00,-3.422156929244025703e-01,2.501229658303497638e-01,-3.505476270025193464e-01,2.496442753268223735e-01,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.000000000000000000e+00,-3.505476270025193464e-01,2.496442753268223735e-01,-3.558306890719102333e-01,2.491845411053493220e-01,0.000000000000000000e+00,-2.000000000000000111e-01
0.000000000000000000e+00,1.000000000000000000e+00,-3.558306890719102333e-01,2.491845411053493220e-01,-3.520864411116257364e-01,2.487066965766339954e-01,0.000000000000000000e+00,2.000000000000000111e-01
0.000000000000000000e+00,1.000000000000000000e+00,-3.520864411116257364e-01,2.487066965766339954e-01,-3.403269442584515581e-01,2.482455498880310751e-01,0.000000000000000000e+00,2.000000000000000111e-01
0.000000000000000000e+00,1.000000000000000000e+00,-3.403269442584515581e-01,2.482455498880310751e-01,-3.205678132956468751e-01,2.477813438374636967e-01,0.000000000000000000e+00,2.000000000000000111e-01
0.000000000000000000e+00,2.000000000000000000e+00,-3.205678132956468751e-01,2.477813438374636967e-01,-2.991032668663206051e-01,2.472971344938167670e-01,0.000000000000000000e+00,-2.000000000000000111e-01
0.000000000000000000e+00,1.000000000000000000e+00,-2.991032668663206051e-01,2.472971344938167670e-01,-2.790175502452126866e-01,2.468308706562553634e-01,0.000000000000000000e+00,2.000000000000000111e-01
0.000000000000000000e+00,2.000000000000000000e+00,-2.790175502452126866e-01,2.468308706562553634e-01,-2.584985992318706294e-01,2.463636061837942703e-01,0.000000000000000000e+00,-2.000000000000000111e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,-2.514812935062565868e-01,2.461399393116965317e-01,-3.177409115918486959e-01,1.620509691996843138e-01,0.000000000000000000e+00,2.000000000000000111e-01
0.000000000000000000e+00,2.000000000000000000e+00,-3.177409115918486959e-01,1.620509691996843138e-01,-3.002743729139349393e-01,1.620194083561195264e-01,0.000000000000000000e+00,-2.000000000000000111e-01
1.000000000000000056e-01,1.000000000000000000e+00,-3.002743729139349393e-01,1.620194083561195264e-01,-2.840054173944798199e-01,1.632277639636136590e-01,2.000000000000000042e-02,2.000000000000000111e-01
1.000000000000000056e-01,2.000000000000000000e+00,-2.840054173944798199e-01,1.632277639636136590e-01,-2.673375389856934570e-01,1.683343075931181543e-01,2.000000000000000042e-02,-2.000000000000000111e-01
0.000000000000000000e+00,0.000000000000000000e+00,-2.673375389856934570e-01,1.683343075931181543e-01,-2.551704549550476431e-01,1.765834513707416342e-01,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,-2.551704549550476431e-01,1.765834513707416342e-01,-2.387323283556386788e-01,1.854104403004525337e-01,0.000000000000000000e+00,2.000000000000000111e-01
0.000000000000000000e+00,1.000000000000000000e+00,-2.387323283556386788e-01,1.854104403004525337e-01,-2.147805010582902741e-01,1.938946644968964350e-01,0.000000000000000000e+00,2.000000000000000111e-01
0.000000000000000000e+00,1.000000000000000000e+00,-2.147805010582902741e-01,1.938946644968964350e-01,-1.828252593051586938e-01,2.023740053945977391e-01,0.000000000000000000e+00,2.000000000000000111e-01
0.000000000000000000e+00,0.000000000000000000e+00,-1.828252593051586938e-01,2.023740053945977391e-01,-1.753662518643126500e-01,2.108624281836862235e-01,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,-1.753662518643126500e-01,2.108624281836862235e-01,-1.753702945628954346e-01,2.196943593810819495e-01,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,-1.753702945628954346e-01,2.196943593810819495e-01,-1.753747400323595607e-01,2.281873020337628066e-01,0.000000000000000000e+00,2.000000000000000111e-01
-1.000000000000000056e-01,2.000000000000000000e+00,-1.753747400323595607e-01,2.281873020337628066e-01,-1.791787039102307744e-01,2.358248395782517326e-01,-2.000000000000000042e-02,-2.000000000000000111e-01
-1.000000000000000056e-01,1.000000000000000000e+00,-1.791787039102307744e-01,2.358248395782517326e-01,-1.833872190964609961e-01,2.397011873060395648e-01,-2.000000000000000042e-02,2.000000000000000111e-01
0.000000000000000000e+00,1.000000000000000000e+00,-1.833872190964609961e-01,2.397011873060395648e-01,-1.792777647310968558e-01,2.413878181955638469e-01,0.000000000000000000e+00,2.000000000000000111e-01
